shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
f8939f8a-f65e-4d6f-8519-2c2840e3e6a5,37.227612016427,-80.441401349216,44,2382.21
3c2c524f-a466-48b1-81e4-f3ac7f35d571,37.2220426632191,-80.4489146440574,61,5677.79
50af930d-67fd-4314-80ca-dcff1602aa9f,37.2346809515965,-80.4092330077929,88,5748.12
fd0937b3-48d6-4b86-9d74-e463b40d55f4,37.2258177704423,-80.4400667340344,220,26310.7
bccd5bab-2cf0-4b7a-bbac-6523feb55222,37.2248779854736,-80.4367895334884,100,5420.05
c2c639a5-32f8-41e3-8221-8ebd4c904b68,37.2257387912234,-80.4156807727055,20,2240.92
1624ad03-0ebf-4743-8abc-42f34060e035,37.2468141226682,-80.4190051771531,38,2410.16
f0de71e0-107d-4bcb-a8d2-8dfcf6d66e3a,37.2419349705538,-80.4157977000011,5,507.6
b6d71f6b-4e43-42bc-a74d-ef5ff8fbb8a6,37.2345497001557,-80.4210448768936,21,744.67
f8939f8a-f65e-4d6f-8519-2c2840e3e6a5,37.1675982824584,-80.4281023085521,118,13270.77
ab1a571c-16bb-4448-8f67-f16233a2bd20,37.2196031939747,-80.4481220512463,9,1087.08
af234ae3-0762-49b9-89ff-4665d5b32ac7,37.2351927960365,-80.4205195912854,25,780.64
0838e7d7-57d5-427d-b770-e402eac1f11e,37.2404446513658,-80.4356113515587,36,1946.85
99f7a61c-9121-44a6-ac7a-8cd83a2bec8a,37.2322131752903,-80.4167396547584,119,13056.72
57b3d106-fd5e-4b7b-85f7-bfb555af392b,37.2288279082477,-80.4200290209803,29,2780.49
f06184b6-e86d-4b52-bd0b-2b5ea817c97e,37.2090832296643,-80.417327089306,75,4645.96
f06184b6-e86d-4b52-bd0b-2b5ea817c97e,37.2049616977334,-80.4099242223448,105,6615.05
50af930d-67fd-4314-80ca-dcff1602aa9f,37.234460230272,-80.4214060841672,118,7627.32
fd0937b3-48d6-4b86-9d74-e463b40d55f4,37.2276289081705,-80.4413502019958,53,2384.22
99f7a61c-9121-44a6-ac7a-8cd83a2bec8a,37.195776577439,-80.3978105278488,67,6900.12
8909fd06-51cb-4b38-b873-c3b148b909b0,37.2229452759897,-80.4502341559411,38,5334.85
b8c51a51-84af-4a44-9a35-9f53382c3b05,37.2322260921704,-80.4242636376131,49,4835.98
6c8db17c-cc7e-4357-a5c5-21c8e98984ed,37.2349186100752,-80.4209744706399,101,7547.2
e708f6e7-1846-4ab0-b148-b3f768db6cb4,37.2430998188979,-80.4293044651618,59,3587.38
3c2c524f-a466-48b1-81e4-f3ac7f35d571,37.2165428911682,-80.4460785977908,52,4901.7
e93f9bcf-465f-43b3-90d0-216bddda2c87,37.2337279714366,-80.4236467342732,71,4476.56
4c65baab-ac20-473b-8a19-0b9cb7567806,37.2309417212978,-80.4287089980359,34,4209.98
78bec10c-1fb8-41d6-af99-dd82e113d469,37.2304133795123,-80.4285704510807,6,504.57
c9430839-4a0c-471d-83b5-6785322fce8a,37.2167956696972,-80.4492392873181,47,4517.26
78bec10c-1fb8-41d6-af99-dd82e113d469,37.2310652115604,-80.427247018184,1,95.76
98e4504d-d61b-4182-95cb-038c39551a3a,37.2257497449497,-80.4477919623967,35,2748.15
a26fa236-5b1f-44ff-93d3-aeaf75cc2973,37.231449,-80.424654,160,10070.91
af234ae3-0762-49b9-89ff-4665d5b32ac7,37.2394844178558,-80.4175890061047,39,1520.23
0838e7d7-57d5-427d-b770-e402eac1f11e,37.2329554029767,-80.4326951751823,17,1057.93
f8939f8a-f65e-4d6f-8519-2c2840e3e6a5,37.1683431108649,-80.4215539021296,164,17273.93
f8939f8a-f65e-4d6f-8519-2c2840e3e6a5,37.232330602367,-80.4233144524142,7,289.51
c36e7bd9-7191-4115-a8f8-5507f1f145cf,37.1642142334112,-80.4291373747073,120,13851.1
009b7c3f-c455-4799-b8cf-815505da3f7e,37.2434909091568,-80.4283952622686,56,3441.95
2504249f-e511-4516-8a2e-2c1e088d018d,37.2350724754346,-80.4204701024794,77,9109.37
f8939f8a-f65e-4d6f-8519-2c2840e3e6a5,37.167757468696,-80.4221813810518,97,11588.13
99f7a61c-9121-44a6-ac7a-8cd83a2bec8a,37.2116768906196,-80.3931536589898,96,9518.12
99f7a61c-9121-44a6-ac7a-8cd83a2bec8a,37.1998822590353,-80.4012888255654,48,5451.78
a5d067da-d551-4428-93e8-ae0cd08d0e96,37.2322167131836,-80.4236709557452,95,8592.15
98e8b74d-b3ea-4ff9-993d-114d2f5de2cf,37.2322594850852,-80.4231219201654,49,3652.74
0aa35e38-de23-44ce-b140-77621ff93358,37.2336874651778,-80.42370799953,78,7453.22
af234ae3-0762-49b9-89ff-4665d5b32ac7,37.2485437059731,-80.4170863144845,74,3251.52
5ace41fb-b4a5-42d0-8d49-1628dcfd98a9,37.2162871056992,-80.4240021040832,75,4601.76
0a3f36d7-c307-4463-b6c5-99406a7cffaf,37.23135183825,-80.4308558136686,92,7413.83
f06184b6-e86d-4b52-bd0b-2b5ea817c97e,37.2293869966627,-80.4214124484673,13,683.88
ab1a571c-16bb-4448-8f67-f16233a2bd20,37.2276660495441,-80.4395584885282,17,2633.72
f06184b6-e86d-4b52-bd0b-2b5ea817c97e,37.2048675966881,-80.414764531465,88,5330.34
8c645223-1d5a-4351-adb6-43949e7cf524,37.1635513463631,-80.4127867370923,199,19498.34
2674478c-5212-4ba0-993a-819fef810e02,37.2342530207577,-80.4218517327652,55,3481.95
af234ae3-0762-49b9-89ff-4665d5b32ac7,37.2419349705538,-80.4157977000011,48,1952.57
c36e7bd9-7191-4115-a8f8-5507f1f145cf,37.1642730810252,-80.4290148455484,121,13863.77
