stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
1216,1216,Prices Fork/Plantation Ebnd,240,37.2253243461444,-80.445132729121,0,0
1218,1218,Prices Fork/Old Glade Ebnd,242,37.2314196664941,-80.4344079157357,0,0
8111,8111,Orange Bay 11,,37.229738,-80.427082,0,0
1222,1222,Tall Oaks/Colonial Sbnd,,37.2165682742934,-80.4461506275028,0,0
1208,1208,Tall Oaks/Foxtrail Sbnd,232,37.2141073473756,-80.4442838099172,0,0
1209,1209,Stroubles Cr,233,37.2131685741644,-80.4441872503869,0,0
1211,1211,Tall Oaks/Copper Croft Nbnd,235,37.2159969637392,-80.4453178015541,0,0
1420,1420,Main/Montgomery Sbnd,123,37.238916,-80.420067,0,0
8006,8006,Maroon Bay 6,,37.231449,-80.424654,0,0
8002,8002,Maroon Bay 2,,37.231893,-80.424764,0,0
1803,1803,LewisGale Hospital Montgomery,802,37.1874435059693,-80.4104651755372,0,0
2209,2209,Shoppers Way Wbnd,,37.1666684548061,-80.4252441480901,0,0
1801,1801,NRV Theatre,616,37.1642142334112,-80.4291373747073,0,0
1800,1800,Uptown Mall,611,37.1660917798336,-80.4285486297934,0,0
2226,2226,Shoppers Way Ebnd,,37.1666778425382,-80.4252548769268,0,0
1802,1802,Walmart,601,37.161693,-80.425831,0,0
2202,2202,Laurel/Sycamore Ebnd,,37.162334,-80.420922,0,0
2204,2204,DMV on Arbor,,37.1652978459178,-80.4179364691935,0,0
2205,2205,Post Office on Arbor,,37.167588452553,-80.4174496482283,0,0
2206,2206,Arbor/Market Wbnd,,37.1688155632505,-80.4195940744635,0,0
2207,2207,Market/Shoppers Way Sbnd,,37.167082,-80.421249,0,0
8008,8008,Maroon Bay 8,,37.231734,-80.424266,0,0
1402,1402,Lucas/Main Ebnd,102,37.2396795296478,-80.4184031735899,0,0
1403,1403,Lucas/Giles Ebnd,103,37.2393,-80.416711,0,0
1404,1404,Giles/Northview Nbnd,104,37.24095,-80.416242,0,0
1405,1405,Giles/Heights Nbnd,105,37.2429,-80.414471,0,0
1406,1406,Giles/Patrick Henry Nbnd,106,37.2449406829441,-80.4122314102788,0,0
1407,1407,Patrick Henry/Giles Wbnd,107,37.2453121689148,-80.4128751404807,0,0
1408,1408,Patrick Henry/Main Wbnd,108,37.2460765985296,-80.4143503555268,0,0
1414,1414,Seneca Circle,117,37.249051,-80.416995,0,0
1415,1415,Seneca/Patrick Henry Sbnd,118,37.2474163620124,-80.4175582776998,0,0
1438,1438,Patrick Henry/Mary Jane Wbnd,,37.2467498330325,-80.4198314499755,0,0
1326,1326,Progress/Hunt Club Sbnd,410,37.2448736277147,-80.421412612284,0,0
1327,1327,Progress/University Terr Sbnd,411,37.2435016777218,-80.4218699289483,0,0
1328,1328,Progress/Broce Sbnd,412,37.2423429633583,-80.4222481204419,0,0
1340,1340,Progress/Watson Sbnd,,37.2392852448991,-80.422364796541,0,0
1652,1652,Country Club/Main Wbnd,,37.217321,-80.403612,0,0
1653,1653,Country Club/Draper Wbnd,,37.216379,-80.405167,0,0
1654,1654,Country Club/Airport Wbnd,,37.214605,-80.407806,0,0
1655,1655,Airport/Fairview Sbnd,,37.2122,-80.406166,0,0
1656,1656,Hubbard/Kennedy Ebnd,,37.210097,-80.401928,0,0
1609,1609,Fairfax/Ellett Ebnd,139,37.20866514496,-80.3967295823532,0,0
1610,1610,Fairfax/New Kent Ebnd,140,37.2089762812243,-80.3960590300595,0,0
1641,1641,Fairfax Circle,,37.207848,-80.393925,0,0
1611,1611,New Kent/Loudon Ebnd,141,37.2099539464685,-80.3956607219971,0,0
1612,1612,New Kent/Sussex Ebnd,142,37.2114707357568,-80.393687957149,0,0
1613,1613,Grissom/Nellies Cave Nbnd,143,37.2126602955258,-80.3935498233765,0,0
1614,1614,Marlington/Grissom Wbnd,144,37.2130384870194,-80.3941130873032,0,0
1615,1615,Marlington/Emerald Wbnd,145,37.2124577887331,-80.3960751233146,0,0
1616,1616,Marlington/Grayland Wbnd,146,37.211893,-80.398048,0,0
1618,1618,Main/Landsdowne Nbnd,148,37.2119316221826,-80.3997610258585,0,0
1619,1619,Main/Ardmore Nbnd,149,37.2141888562377,-80.4003778035181,0,0
1620,1620,Blacksburg Square,150,37.215795852159,-80.4008377128714,0,0
1621,1621,Main/Cohee Nbnd,151,37.2193736631132,-80.4029034137672,0,0
1622,1622,Main/Sunset Nbnd,152,37.220935124735,-80.4047573119347,0,0
1623,1623,Main/Graves Nbnd,153,37.2223725749476,-80.4063292089897,0,0
1624,1624,Main/Hemlock Nbnd,154,37.223944349524,-80.4080511872799,0,0
1625,1625,Main/Eakin Nbnd,155,37.2251164749334,-80.4093480354159,0,0
1626,1626,Main/Clay Nbnd,156,37.2267633513667,-80.4111652321318,0,0
1151,1151,West Campus/Grove Sbnd,WIP - NOT Active,37.2253493553032,-80.4250894784892,0,0
1132,1132,Life Sciences 1 Bldg,748,37.2206271998859,-80.4245339566583,0,0
1155,1155,Vet Med,,37.2183378431518,-80.4250626131957,0,0
1726,1726,Smoot/Innovation Sbnd,WIP - NOT Active,37.205056,-80.41486,0,0
1705,1705,Pratt Dr/Andrews Bldg Sbnd,746,37.2039905507285,-80.4124822452972,0,0
1701,1701,Pratt Dr/Garvin Bldg Sbnd,735,37.2016307818119,-80.4117192948974,0,0
1702,1702,Pratt/Kraft Ebnd,736,37.2011133850284,-80.4107481486051,0,0
1727,1727,Kraft/Pratt Nbnd,,37.2019086600488,-80.4098174220215,0,0
1728,1728,Kraft/Research Ctr Dr Nbnd,,37.2048282367512,-80.4099224397505,0,0
1729,1729,Research Ctr/Sheliah Sbnd,,37.2031670537112,-80.4058260378378,0,0
1730,1730,Research Ctr/S Knollwood Sbnd,,37.1999070531965,-80.4053126506529,0,0
1711,1711,Research Ctr/Rimrock Sbnd,,37.1960675689043,-80.4039614441039,0,0
1636,1636,Industrial Park/Transportation Res Ebnd,804,37.193635,-80.4002700984639,0,0
1649,1649,Blacksburg Transit,,37.196776,-80.394275,0,0
1650,1650,Commerce/Industrial Park Sbnd,,37.1950247702017,-80.3934921558793,0,0
1651,1651,Industrial Park/Prosperity Wbnd,,37.1939594470719,-80.3965320514122,0,0
1712,1712,Research Ctr/Rimrock Nbnd,,37.1961073278783,-80.4039614441039,0,0
1716,1716,Research Ctr/S Knollwood Nbnd,824,37.1999667406062,-80.4053421560134,0,0
1601,1601,Blacksburg Municipal Building,129,37.227610929466,-80.4120825476696,0,0
1603,1603,Main/Eakin Sbnd,131,37.2247972920416,-80.4089886193865,0,0
1635,1635,Main/Hemlock Sbnd,166,37.2237683852815,-80.4078982432535,0,0
1605,1605,Main/Airport Sbnd,133,37.2221785928695,-80.4061548659381,0,0
1606,1606,Main/Faystone Sbnd,134,37.2195780744734,-80.4032171503801,0,0
1607,1607,Gables Shopping Center,135,37.2155942697426,-80.4008091913611,0,0
1608,1608,Main/Landsdowne Sbnd,137,37.2131216355039,-80.4001131892272,0,0
1648,1648,Main/King Sbnd,,37.2111032730999,-80.3996236860528,0,0
8115,8115,Orange Bay 15,,37.230711,-80.42681,0,0
1131,1131,Bioinfomatics Bldg,747,37.2211521697731,-80.427106942362,0,0
1156,1156,Duck Pond/Smithfield Nbnd,,37.2241191188739,-80.4292801827695,0,0
1117,1117,Overflow Lot Wbnd,721,37.2241787351601,-80.4307739968694,0,0
